COCKTAIL,A Cocktail Party,5,no knifing,vegetarians welcome with advance notice,not dairy-free,not wheat-free,"You'll learn to whip up & sample: The Perfect Martini, Hipcooks Mojitos, Caiprinhas, Ginger Lemon Drops. Amaretto Sour with cracked pepper for dessert!"
PACK,A Moveable Feast,10,no knifing,vegetarians welcome with advance notice,not dairy-free,not wheat-free,Vinho Verde 
BRUNCH2,Another Bountiful Brunch,15,no knifing,"meat-eater's class, pescatarians welcome with advance notice",not dairy-free,wheat-free welcome with advance notice,Pommegranate Bellinis
BADDA,Badda-Bing,20,no knifing,pescatarian,not dairy-free,wheat-free,Italian wines
Nirvana 2,Bollywood Forever!,25,no knifing,vegetarians welcome with advance notice,not dairy-free,not wheat-free,Gewurztraminer/Riesling
BB,Brown Baggin' It,30,learn great knife skills!,vegetarians welcome with advance notice,dairy-free welcome with advance notice,wheat-free welcome with advance notice,
COCKTAIL2,Cocktails 2: Wintertime,35,no knifing,vegetarians welcome with advance notice,not dairy-free,not wheat-free,"Rosemary Pomegranate Gin Fizz, Winter Dark & Stormy, Spicy Mulled Wine, The New Fashioned, Hot Apple Pie"
COCKTAILS 3,Cocktails 3: Summer Infusions,40,no knifing,vegetarians welcome with advance notice,not dairy-free,not wheat-free,"Basil-Strawberry Prosecco Smash, Cucumber-infused Tequila, Sage Rush, The Garden Party, Waverly Place Echo, The Bramble"
ONE,Cooking 101,45,learn great knife skills!,"pescatarian, vegetarians welcome with advance notice",not dairy-free,not wheat-free,Pinot Grigio
RDF2,Date Night,50,learn great knife skills!,vegetarian,not dairy-free,wheat-free welcome with advance notice,Viognier
RDF22,Date Night 2,55,basic knife skills taught,pescatarian,not dairy-free,wheat-free welcome with advance notice,Pinot Noir
RDF23,Date Night 3,60,no knifing,meat-eater's class! vegetarians welcome with advance notice,not dairy-free,not wheat-free,Cabernet Sauvignon
DIMSUM,Dim Sum & then Some,65,no knifing,meat-eater's class!,not dairy-free,not wheat-free,4 types of Chinese tea
Argentina,"Don't Cry for Me, Argentina",70,basic knife skills taught,meat-eater's class! vegetarians welcome with advance notice,not dairy-free,not wheat-free,Clerico (white sangria) and Malbec
EIDP,Elegant Intimate Dinner,75,basic knife skills taught,meat-eater's class!,not dairy-free,wheat-free,Zinfandel
SALADS,Endless Salads,80,learn great knife skills!,vegetarian,dairy-free welcome with advance notice,wheat-free welcome with advance notice,Vinho Verde 
